num_deaths_neighbours,num_deaths_kin,num_total_neighbour,num_total_kin,deaths_num_total,marital_status,education_level,material_house,cooking_fuel,bed,radio,livelihood,wealth_score,gender,health_zone
0,0,9,2,0,married,none,earth,charcoal,yes,no,sales,2,f,Nyunzu
0,0,22,27,0,married,lower_secondary,wood_mud,wood,yes,yes,sales,2,f,Nyunzu
0,0,35,50,0,married,upper_secondary,wood_mud,wood,yes,no,not_working,1,m,Nyunzu
0,1,41,34,1,married,upper_secondary,earth,wood,yes,yes,self_agriculture,2,m,Nyunzu
0,0,18,8,0,married,upper_secondary,earth,wood,yes,yes,professional,2,m,Nyunzu
0,0,30,45,0,married,upper_secondary,wood_mud,wood,yes,yes,unskilled,2,m,Nyunzu
0,0,33,15,0,married,upper_secondary,wood_mud,wood,no,no,not_working,0,m,Nyunzu
0,0,41,40,0,married,none,wood_mud,wood,yes,no,self_agriculture,1,f,Nyunzu
0,0,41,20,0,married,none,earth,wood,no,yes,self_agriculture,1,m,Nyunzu
0,0,37,28,0,married,upper_secondary,coated_adobe,wood,no,yes,sales,2,m,Nyunzu
0,0,23,18,0,single,upper_secondary,bricks,wood,yes,yes,self_agriculture,3,m,Nyunzu
0,0,42,30,0,married,upper_secondary,earth,wood,no,no,sales,0,f,Nyunzu
0,0,30,12,0,married,upper_secondary,bricks,charcoal,yes,no,unskilled,3,m,Kalemie
0,0,13,20,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,sales,4,m,Kalemie
0,0,22,6,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,unskilled,4,f,Kalemie
0,0,20,9,0,married,primary,cement_blocks,charcoal,yes,yes,sales,4,f,Kalemie
0,0,25,55,0,married,lower_secondary,coated_adobe,charcoal,yes,yes,sales,4,f,Kalemie
0,0,13,44,0,single,upper_secondary,coated_adobe,charcoal,yes,no,not_working,3,m,Kalemie
0,0,14,61,0,divorced,primary,coated_adobe,wood,no,no,not_working,1,m,Kalemie
0,0,16,58,0,single,upper_secondary,coated_adobe,charcoal,yes,yes,not_working,4,f,Kalemie
1,0,15,62,1,single,upper_secondary,cement_blocks,electricity,yes,yes,sales,4,m,Kalemie
0,0,36,38,0,married,primary,wood_mud,wood,yes,no,self_agriculture,1,m,Nyunzu
0,0,28,43,0,married,lower_secondary,wood_mud,wood,yes,no,sales,1,f,Nyunzu
1,1,35,35,2,married,none,wood_mud,wood,no,no,sales,0,f,Nyunzu
0,0,17,50,0,married,lower_secondary,coated_adobe,charcoal,yes,no,sales,3,m,Kalemie
0,0,11,46,0,single,primary,coated_adobe,wood,no,no,sales,1,f,Kalemie
0,0,16,34,0,single,lower_secondary,coated_adobe,charcoal,yes,no,sales,3,m,Kalemie
0,0,13,49,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,f,Kalemie
0,0,14,16,0,married,primary,coated_adobe,charcoal,yes,yes,salary,4,m,Kalemie
0,0,19,17,0,married,primary,bamboo_mud,wood,yes,yes,unskilled,2,m,Kalemie
0,0,14,18,0,married,primary,wood_mud,wood,no,no,employed_agriculture,0,f,Kalemie
0,1,19,30,1,married,primary,coated_adobe,charcoal,yes,no,domestic,3,f,Kalemie
0,0,18,21,0,divorced,lower_secondary,earth,wood,no,yes,employed_agriculture,1,m,Nyunzu
0,0,24,25,0,widowed,none,wood_mud,wood,no,no,sales,0,f,Nyunzu
0,0,11,20,0,married,upper_secondary,wood,wood,yes,yes,sales,2,m,Nyunzu
0,0,25,11,0,divorced,upper_secondary,wood_mud,charcoal,yes,yes,sales,3,f,Nyunzu
0,1,21,64,1,married,upper_secondary,earth,wood,yes,no,daily_labour_non,1,m,Nyemba
0,0,22,11,0,married,lower_secondary,earth,wood,no,no,daily_labour_non,0,m,Nyemba
0,0,14,13,0,married,upper_secondary,earth,charcoal,yes,yes,daily_labour_non,3,m,Nyemba
0,0,38,23,0,married,none,wood,wood,yes,no,sales,1,m,Nyemba
0,0,38,42,0,married,upper_secondary,coated_adobe,straw_grass,yes,no,self_agriculture,2,m,Nyemba
0,0,33,21,0,married,none,trunks,wood,yes,no,self_agriculture,1,m,Nyemba
1,0,22,17,1,widowed,upper_secondary,coated_adobe,wood,yes,yes,unskilled,3,m,Kalemie
0,0,14,12,0,married,lower_secondary,coated_adobe,wood,yes,no,unskilled,2,m,Kalemie
0,0,22,28,0,divorced,primary,coated_adobe,wood,yes,yes,sales,3,f,Kalemie
1,0,25,20,1,married,none,none,wood,yes,no,sales,1,f,Kalemie
0,0,29,31,0,married,upper_secondary,wood_mud,wood,yes,no,self_agriculture,1,m,Nyunzu
0,0,19,17,0,married,lower_secondary,earth,wood,no,no,employed_agriculture,0,m,Nyunzu
1,0,36,29,1,married,lower_secondary,coated_adobe,charcoal,yes,no,sales,3,f,Nyunzu
0,0,37,37,0,married,upper_secondary,coated_adobe,wood,yes,no,self_agriculture,2,m,Nyunzu
0,0,15,13,0,widowed,none,earth,wood,no,no,employed_agriculture,0,f,Nyunzu
0,0,25,23,0,married,none,earth,wood,no,no,self_agriculture,0,m,Nyemba
0,0,31,21,0,married,none,earth,wood,yes,no,sales,1,f,Nyemba
0,0,22,28,0,married,none,coated_adobe,wood,no,no,sales,1,f,Nyemba
0,0,30,21,0,married,lower_secondary,coated_adobe,wood,no,no,self_agriculture,1,m,Nyemba
1,0,18,60,1,married,upper_secondary,earth,wood,yes,yes,self_agriculture,2,m,Nyemba
0,0,34,67,0,married,upper_secondary,earth,charcoal,yes,no,sales,2,f,Nyemba
0,0,19,3,0,married,upper_secondary,earth,charcoal,no,no,sales,1,f,Nyemba
0,1,31,83,1,married,lower_secondary,earth,charcoal,yes,yes,self_agriculture,3,m,Nyemba
0,0,21,44,0,married,primary,coated_adobe,charcoal,yes,no,sales,3,f,Kalemie
0,0,17,57,0,single,lower_secondary,coated_adobe,wood,yes,yes,sales,3,m,Kalemie
0,0,28,28,0,married,none,coated_adobe,charcoal,yes,no,not_working,3,f,Kalemie
0,0,26,25,0,divorced,lower_secondary,coated_adobe,wood,no,no,skilled,1,m,Kalemie
0,0,33,49,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,f,Kalemie
0,1,20,56,1,married,primary,coated_adobe,wood,no,no,sales,1,f,Kalemie
0,0,19,54,0,single,lower_secondary,coated_adobe,wood,yes,no,self_agriculture,2,m,Kalemie
0,0,31,52,0,married,primary,coated_adobe,wood,no,no,self_agriculture,1,m,Kalemie
0,0,29,27,0,married,primary,coated_adobe,wood,no,no,self_agriculture,1,f,Kalemie
0,0,25,45,0,married,upper_secondary,earth,wood,no,no,daily_labour_non,0,m,Nyemba
1,2,46,84,3,married,lower_secondary,earth,charcoal,no,no,self_agriculture,1,m,Nyemba
0,0,19,80,0,married,upper_secondary,earth,wood,yes,yes,sales,2,f,Nyemba
0,0,29,51,0,married,upper_secondary,earth,wood,no,no,self_agriculture,0,m,Nyemba
0,0,27,56,0,married,upper_secondary,earth,wood,yes,no,self_agriculture,1,m,Nyemba
0,0,29,27,0,married,primary,coated_adobe,wood,yes,no,sales,2,f,Kalemie
0,0,22,31,0,married,none,coated_adobe,wood,no,no,sales,1,f,Kalemie
0,0,13,10,0,married,none,coated_adobe,charcoal,yes,no,self_agriculture,3,m,Kalemie
0,0,13,5,0,widowed,primary,coated_adobe,wood,no,no,self_agriculture,1,m,Kalemie
0,0,14,8,0,widowed,none,coated_adobe,wood,no,no,self_agriculture,1,f,Kalemie
0,1,15,19,1,married,none,wood_mud,wood,yes,yes,sales,2,m,Nyunzu
0,0,25,18,0,divorced,lower_secondary,wood_mud,wood,yes,no,skilled,1,f,Nyunzu
0,0,16,28,0,married,none,wood_mud,wood,no,yes,employed_agriculture,1,f,Nyunzu
0,0,21,25,0,widowed,upper_secondary,wood_mud,wood,yes,yes,sales,2,m,Nyunzu
1,0,38,36,1,married,upper_secondary,wood_mud,wood,yes,no,self_agriculture,1,m,Nyunzu
0,0,29,42,0,married,lower_secondary,coated_adobe,charcoal,yes,no,sales,3,f,Nyunzu
0,0,44,44,0,married,none,reused_wood,wood,yes,no,self_agriculture,1,f,Nyunzu
0,1,42,33,1,married,lower_secondary,wood_mud,wood,yes,yes,self_agriculture,2,f,Nyunzu
1,0,37,42,1,married,upper_secondary,bamboo_mud,wood,no,no,self_agriculture,0,m,Nyunzu
0,0,35,26,0,married,none,trunks,wood,no,no,self_agriculture,0,m,Nyemba
0,0,27,23,0,married,upper_secondary,coated_adobe,wood,yes,no,self_agriculture,2,f,Nyemba
0,0,28,31,0,married,none,coated_adobe,wood,yes,yes,self_agriculture,3,m,Nyemba
0,0,32,25,0,married,none,earth,wood,yes,no,sales,1,f,Nyemba
0,0,26,29,0,married,none,cement_blocks,wood,yes,yes,sales,3,f,Nyemba
0,0,28,37,0,married,upper_secondary,coated_adobe,wood,no,no,self_agriculture,1,m,Nyemba
0,0,34,19,0,married,none,earth,wood,no,no,self_agriculture,0,m,Nyemba
0,0,35,25,0,married,none,earth,wood,no,no,self_agriculture,0,f,Nyemba
0,0,34,22,0,married,upper_secondary,earth,charcoal,yes,yes,sales,3,f,Nyemba
0,0,36,23,0,married,none,trunks,coal_lignite,yes,yes,sales,3,f,Nyemba
0,0,27,26,0,married,none,coated_adobe,wood,yes,no,sales,2,f,Nyemba
0,1,23,23,1,married,lower_secondary,wood_mud,wood,yes,yes,sales,2,f,Nyunzu
0,0,28,20,0,married,primary,earth,wood,yes,yes,sales,2,m,Nyunzu
0,0,19,21,0,married,none,wood_mud,wood,no,yes,sales,1,f,Nyunzu
1,0,23,17,1,divorced,lower_secondary,wood_mud,wood,yes,yes,domestic,2,f,Nyunzu
0,1,14,21,1,married,lower_secondary,earth,wood,yes,no,sales,1,f,Nyunzu
0,0,29,16,0,widowed,upper_secondary,wood_mud,wood,yes,no,sales,1,m,Nyunzu
1,1,28,67,2,married,lower_secondary,earth,wood,no,yes,self_agriculture,1,m,Nyemba
0,0,40,47,0,married,none,earth,wood,no,no,not_working,0,f,Nyemba
0,0,30,42,0,married,lower_secondary,earth,wood,yes,no,domestic,1,m,Nyemba
0,0,35,26,0,married,none,wood_mud,wood,yes,no,sales,1,f,Kalemie
0,0,43,34,0,married,upper_secondary,earth,wood,no,no,professional,0,m,Nyemba
0,0,13,53,0,married,upper_secondary,earth,wood,no,no,not_working,0,f,Nyemba
0,0,25,21,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,f,Kalemie
0,0,27,69,0,married,primary,earth,wood,no,no,self_agriculture,0,f,Nyemba
0,1,27,19,1,married,none,trunks,wood,no,no,self_agriculture,0,f,Kalemie
0,0,12,19,0,single,upper_secondary,coated_adobe,wood,yes,no,self_agriculture,2,m,Kalemie
0,0,19,8,0,married,lower_secondary,trunks,wood,no,yes,self_agriculture,1,m,Kalemie
0,0,26,71,0,married,primary,coated_adobe,wood,no,no,self_agriculture,1,f,Nyunzu
0,0,29,3,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,f,Kalemie
0,0,21,35,0,married,upper_secondary,coated_adobe,wood,yes,yes,sales,3,m,Kalemie
0,0,32,55,0,single,upper_secondary,coated_adobe,wood,yes,yes,sales,3,m,Kalemie
0,1,24,45,1,married,primary,coated_adobe,wood,no,no,self_agriculture,1,m,Kalemie
0,0,22,27,0,married,lower_secondary,bricks,charcoal,yes,yes,sales,4,m,Nyunzu
0,0,21,1,0,married,upper_secondary,bricks,charcoal,no,no,sales,2,f,Nyunzu
0,0,20,9,0,married,primary,coated_adobe,charcoal,no,no,sales,2,f,Kalemie
0,0,17,11,0,married,lower_secondary,bricks,charcoal,yes,yes,sales,4,m,Kalemie
0,0,18,9,0,divorced,lower_secondary,bamboo_mud,wood,no,yes,sales,1,m,Kalemie
0,0,25,6,0,widowed,upper_secondary,wood_mud,wood,yes,no,sales,1,f,Kalemie
0,0,33,21,0,single,lower_secondary,wood_mud,charcoal,yes,yes,unskilled,3,m,Kalemie
0,0,14,13,0,married,lower_secondary,wood_mud,wood,no,no,sales,0,m,Kalemie
0,0,21,19,0,widowed,lower_secondary,bamboo_mud,wood,no,no,self_agriculture,0,m,Kalemie
0,0,0,4,0,married,superior,coated_adobe,charcoal,no,no,not_working,2,f,Kalemie
0,0,30,5,0,married,lower_secondary,wood_mud,wood,yes,no,not_working,1,f,Kalemie
0,0,23,12,0,married,primary,wood_mud,wood,no,no,self_agriculture,0,m,Kalemie
0,0,31,26,0,married,upper_secondary,bricks,charcoal,yes,no,self_agriculture,3,f,Nyemba
0,0,29,23,0,married,none,coated_adobe,wood,yes,no,sales,2,f,Nyemba
0,0,25,22,0,married,lower_secondary,coated_adobe,wood,no,no,self_agriculture,1,m,Nyemba
0,0,17,5,0,married,lower_secondary,cement_blocks,charcoal,yes,no,sales,3,f,Nyemba
0,0,19,9,0,married,upper_secondary,bricks,charcoal,yes,no,not_working,3,m,Nyemba
0,0,16,4,0,married,primary,bricks,wood,no,no,sales,1,m,Nyemba
0,0,30,6,0,married,upper_secondary,bricks,charcoal,no,no,sales,2,m,Kalemie
0,0,35,8,0,married,lower_secondary,bricks,charcoal,no,no,unskilled,2,f,Kalemie
0,0,25,9,0,married,upper_secondary,bricks,charcoal,no,no,sales,2,f,Kalemie
0,0,26,11,0,widowed,upper_secondary,coated_adobe,charcoal,yes,no,sales,3,f,Kalemie
0,0,32,8,0,married,upper_secondary,coated_adobe,charcoal,no,no,self_agriculture,2,f,Kalemie
0,0,18,9,0,married,lower_secondary,wood_mud,wood,no,no,self_agriculture,0,f,Kalemie
0,0,33,14,0,married,primary,stone_mud,wood,no,no,self_agriculture,0,f,Kalemie
0,0,0,12,0,married,none,wood_mud,wood,no,no,daily_labour_non,0,m,Kalemie
0,0,30,29,0,married,upper_secondary,coated_adobe,charcoal,yes,yes,sales,4,m,Nyemba
0,0,32,28,0,married,none,coated_adobe,wood,no,yes,self_agriculture,2,f,Nyemba
0,0,29,29,0,married,none,coated_adobe,wood,yes,no,self_agriculture,2,m,Nyemba
0,0,29,32,0,married,none,coated_adobe,wood,yes,yes,self_agriculture,3,m,Nyemba
0,0,27,23,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,f,Nyemba
0,0,31,23,0,married,lower_secondary,coated_adobe,charcoal,yes,yes,self_agriculture,4,m,Nyemba
1,0,28,25,1,married,none,wood_mud,wood,no,no,self_agriculture,0,f,Kalemie
0,0,28,18,0,married,lower_secondary,coated_adobe,charcoal,yes,yes,sales,4,f,Nyemba
1,0,16,29,1,married,none,cement_blocks,charcoal,yes,no,sales,3,f,Kalemie
0,0,23,12,0,married,primary,bricks,charcoal,yes,yes,sales,4,f,Nyunzu
0,0,29,14,0,married,primary,bamboo_mud,wood,yes,no,sales,1,m,Kalemie
0,0,30,13,0,married,primary,coated_adobe,charcoal,yes,yes,not_working,4,f,Nyemba
0,0,26,17,0,married,lower_secondary,bricks,charcoal,yes,yes,sales,4,m,Nyunzu
0,0,32,14,0,married,lower_secondary,cement_blocks,charcoal,no,no,sales,2,m,Nyemba
0,0,17,9,0,married,primary,coated_adobe,charcoal,yes,no,self_agriculture,3,m,Kalemie
1,0,28,22,1,married,upper_secondary,bricks,charcoal,no,no,self_agriculture,2,m,Nyunzu
0,0,24,9,0,married,lower_secondary,bricks,charcoal,yes,yes,self_agriculture,4,f,Nyunzu
0,0,17,14,0,widowed,primary,coated_adobe,charcoal,no,no,not_working,2,m,Nyemba
0,0,26,22,0,married,upper_secondary,bricks,wood,no,yes,sales,2,m,Nyemba
0,0,32,18,0,married,lower_secondary,bricks,charcoal,no,yes,sales,3,m,Nyemba
0,0,42,23,0,married,upper_secondary,coated_adobe,wood,no,yes,self_agriculture,2,f,Nyemba
0,0,20,23,0,married,primary,coated_adobe,wood,no,yes,unskilled,2,f,Nyemba
0,0,43,36,0,married,upper_secondary,wood_mud,charcoal,yes,yes,sales,3,f,Nyunzu
0,0,43,29,0,married,lower_secondary,coated_adobe,wood,yes,yes,self_agriculture,3,m,Nyunzu
0,0,42,29,0,married,upper_secondary,coated_adobe,charcoal,yes,yes,sales,4,m,Nyunzu
0,0,42,32,0,married,lower_secondary,coated_adobe,wood,yes,yes,self_agriculture,3,m,Nyunzu
0,0,35,30,0,married,lower_secondary,wood_mud,wood,yes,no,self_agriculture,1,f,Nyunzu
0,0,12,18,0,married,lower_secondary,bricks,charcoal,no,yes,skilled,3,m,Nyemba
0,0,32,16,0,married,primary,bricks,wood,no,yes,self_agriculture,2,f,Nyemba
0,0,41,10,0,married,upper_secondary,bricks,wood,no,yes,sales,2,m,Nyemba
0,0,19,5,0,married,primary,bricks,wood,no,no,self_agriculture,1,f,Kalemie
1,0,31,22,1,married,upper_secondary,bricks,wood,yes,no,self_agriculture,2,m,Kalemie
0,0,24,27,0,married,none,bricks,wood,no,no,self_agriculture,1,f,Kalemie
0,0,19,3,0,married,upper_secondary,bricks,wood,no,yes,sales,2,m,Kalemie
0,0,25,31,0,married,upper_secondary,coated_adobe,charcoal,yes,no,sales,3,f,Kalemie
0,0,28,22,0,married,lower_secondary,cement_blocks,charcoal,yes,yes,sales,4,f,Kalemie
0,0,19,11,0,widowed,primary,coated_adobe,charcoal,yes,yes,sales,4,f,Kalemie
0,0,18,16,0,married,lower_secondary,cement_blocks,charcoal,yes,no,sales,3,m,Kalemie
0,0,38,11,0,married,lower_secondary,cement_blocks,charcoal,yes,yes,sales,4,f,Kalemie
0,0,12,32,0,married,lower_secondary,coated_adobe,charcoal,yes,yes,sales,4,m,Kalemie
0,0,33,30,0,married,none,coated_adobe,wood,yes,no,domestic,2,m,Nyemba
0,0,32,24,0,married,none,coated_adobe,wood,yes,yes,self_agriculture,3,f,Nyemba
0,0,24,21,0,married,none,coated_adobe,charcoal,yes,yes,sales,4,m,Nyemba
0,0,33,31,0,married,lower_secondary,coated_adobe,wood,yes,no,self_agriculture,2,m,Nyemba
0,0,31,17,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,f,Nyemba
0,1,29,21,1,divorced,upper_secondary,bricks,charcoal,no,no,self_agriculture,2,f,Nyunzu
0,0,24,35,0,married,upper_secondary,bricks,charcoal,yes,yes,sales,4,m,Nyunzu
1,0,27,3,1,married,primary,wood_mud,charcoal,yes,yes,sales,3,f,Kalemie
0,0,25,14,0,married,lower_secondary,bricks,charcoal,yes,yes,self_agriculture,4,f,Nyunzu
1,0,17,5,1,single,primary,coated_adobe,charcoal,yes,yes,sales,4,f,Kalemie
0,0,22,14,0,married,lower_secondary,bricks,charcoal,yes,yes,sales,4,m,Nyunzu
1,0,17,8,1,single,lower_secondary,coated_adobe,charcoal,yes,yes,sales,4,f,Kalemie
1,0,15,5,1,married,lower_secondary,coated_adobe,charcoal,yes,no,sales,3,m,Kalemie
0,0,18,2,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,sales,4,m,Kalemie
0,0,0,11,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,sales,4,m,Kalemie
0,0,25,19,0,married,upper_secondary,bricks,charcoal,no,yes,sales,3,f,Nyunzu
0,0,15,5,0,married,lower_secondary,coated_adobe,charcoal,no,no,sales,2,m,Nyunzu
0,0,19,10,0,married,primary,coated_adobe,charcoal,no,no,self_agriculture,2,f,Kalemie
0,0,19,7,0,married,upper_secondary,coated_adobe,charcoal,yes,yes,sales,4,f,Kalemie
0,0,20,19,0,married,superior,coated_adobe,wood,yes,yes,professional,3,m,Kalemie
0,0,22,14,0,married,lower_secondary,bricks,charcoal,yes,yes,sales,4,m,Kalemie
0,0,25,34,0,married,primary,coated_adobe,charcoal,yes,no,self_agriculture,3,m,Kalemie
0,0,19,7,0,married,superior,bricks,charcoal,yes,yes,sales,4,f,Nyemba
0,0,25,16,0,married,upper_secondary,bricks,charcoal,yes,yes,not_working,4,f,Nyemba
0,0,13,12,0,married,lower_secondary,bricks,charcoal,yes,yes,self_agriculture,4,m,Nyemba
0,0,29,19,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,sales,4,f,Kalemie
0,0,16,23,0,single,superior,cement_blocks,charcoal,yes,yes,clerical,4,m,Nyemba
0,0,35,14,0,married,lower_secondary,coated_adobe,charcoal,no,yes,unskilled,3,m,Nyemba
0,0,17,30,0,widowed,primary,bricks,wood,no,no,sales,1,f,Nyunzu
0,0,33,12,0,single,primary,coated_adobe,charcoal,no,yes,skilled,3,m,Nyemba
1,0,19,29,1,married,lower_secondary,wood_mud,charcoal,yes,yes,unskilled,3,f,Kalemie
0,0,22,3,0,married,primary,coated_adobe,charcoal,yes,yes,skilled,4,f,Nyemba
1,0,26,11,1,married,lower_secondary,wood_mud,charcoal,yes,yes,sales,3,f,Kalemie
0,0,20,18,0,married,upper_secondary,bricks,charcoal,yes,yes,sales,4,m,Nyunzu
0,0,26,11,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,not_working,4,m,Kalemie
0,0,29,42,0,married,lower_secondary,bricks,wood,yes,yes,self_agriculture,3,m,Kalemie
0,0,17,35,0,married,primary,bricks,wood,no,no,self_agriculture,1,f,Kalemie
0,0,29,26,0,married,primary,bricks,wood,no,no,self_agriculture,1,f,Kalemie
1,0,19,11,1,married,lower_secondary,stone_mud,wood,yes,no,self_agriculture,1,f,Kalemie
0,0,17,6,0,married,lower_secondary,stone_mud,wood,no,yes,sales,1,m,Kalemie
1,0,32,12,1,married,lower_secondary,wood_mud,wood,no,yes,self_agriculture,1,f,Kalemie
